Category,Data Point,Default Value,Unit,Recommended Source,Notes
Produce,Roma tomatoes,$1.20,USD/lb,Produce vendor,Watch for winter price spikes
Produce,Red onions,$2.24,USD/lb,Produce vendor,Needed for both salsa and pickles
Produce,Cilantro,$0.80,USD/bunch,Produce vendor,High spoilage—validate frequently
Produce,Lime juice,$0.90,USD/cup,Citrus wholesaler,Frozen vs fresh will change cost
Produce,Salt,$0.02,USD/Tbsp,Pantry staples supplier,Commodity but confirm bulk size
Operations,Commissary rent,$450.00,USD/month,Lease agreement,Spread across active months
Operations,Insurance & licenses,$150.00,USD/month,Insurance broker statement,Include health dept fees
Operations,Fuel & propane,$250.00,USD/month,Fuel receipts + propane deliveries,Adjust for route distance changes
Operations,Loan or trailer payment,$600.00,USD/month,Finance statement,Add balloon payments separately
Operations,Permits & event fees,$100.00,USD/month,City/state fee schedule,Average across booked events
Operations,Supplies/repairs/marketing,$150.00,USD/month,Accounting ledger,Roll in signage + digital ads
Labor,Festival staff count,$3.00,People,Historical staffing per event,Update if adding cashier/runner
Labor,Festival service hours,$8.00,Hours,Event schedule + teardown time,Include on-site prep buffer
Labor,Festival prep hours,$2.00,Hours,Kitchen prep logs,Paid hours only
Labor,Festival wage,$15.00,USD/hour,Payroll records,Check local wage hikes
Labor,Festival crew lead bonus,$25.00,USD/event,Owner policy,Review if lead duties expand
Labor,Community staff count,$2.00,People,Typical pop-up crew,Adjust for slow season
Labor,Community service hours,$6.00,Hours,Service window,Include travel if paid
Labor,Community prep hours,$1.00,Hours,Kitchen prep logs,Add if batch cooking same day
Labor,Community wage,$15.00,USD/hour,Payroll records,Include employer payroll taxes separately
Labor,Community crew lead bonus,$20.00,USD/event,Owner policy,Line up with responsibilities
Labor,Catering staff count,$2.00,People,Catering history,Add server if plating on site
Labor,Catering service hours,$4.00,Hours,Catering contract,Adjust for buffet vs boxed
Labor,Catering prep hours,$1.00,Hours,Catering prep sheet,Capture day-before prep
Labor,Catering wage,$15.00,USD/hour,Payroll records,Tip-out policies may offset wages
Labor,Catering crew lead bonus,$15.00,USD/event,Owner policy,Consider delivery driver stipend
Drinks,Classic Lemonade (House Base),2.3,USD/gal,,"Water (14 c), Sugar (2 c), Lemon juice (2 c), Pinch salt (optional)"
Drinks,Mango Lemonade,4.42,USD/gal,,"Lemonade (¾ gal), Mango nectar (1 qt = 4 c), Lime juice (splash)"
Drinks,Mango Iced Tea,2.13,USD/gal,,"Black tea (8 bags), Hot water (8 c), Sugar (¾ c), Mango nectar (3 c), Cold water (9 c), Lemon juice (splash optional)"
Menu Pricing,Food cost per bowl,$4.90,USD,Derived from recipe costing,Adjust as you refine ingredient yields.
Menu Pricing,Food + packaging cost per bowl,,USD,Calculated,Auto-calculated in workbook.
Drinks,Drink price per cup,$4.00,USD,Menu pricing model,Retail drink price
Drinks,Drink cost per cup,$0.30,USD,Recipe costing,Average blended drink cost
Drinks,Drink attach rate,0.45,drinks/bowl,Historical average,Fraction of guests buying drinks
